Total	149	29 (19%)	16 (11%)	8 (5%)	5 (3%)	39 (26%)	108 (72%)	41 (28%)
Forehand side	75	19 (25%)	10 (13%)	7 (9%)	2 (3%)	21 (28%)	52 (69%)	23 (31%)
Backhand side	74	10 (14%)	6 (8%)	1 (1%)	3 (4%)	18 (24%)	56 (76%)	18 (24%)
FH GS (top/flt/slc)	72	18 (25%)	9 (13%)	7 (10%)	2 (3%)	21 (29%)	51 (71%)	21 (29%)
BH GS (top/flt/slc)	72	9 (13%)	5 (7%)	1 (1%)	3 (4%)	18 (25%)	55 (76%)	17 (24%)
Baseline shots	147	28 (19%)	15 (10%)	8 (5%)	5 (3%)	39 (27%)	107 (73%)	40 (27%)
Net shots	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
Groundstrokes (top/flt)	118	26 (22%)	14 (12%)	7 (6%)	5 (4%)	27 (23%)	89 (75%)	29 (25%)
Dropshots	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Lobs	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Swinging volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
Forehands (top/flt)	64	17 (27%)	9 (14%)	6 (9%)	2 (3%)	14 (22%)	49 (77%)	15 (23%)
Backhands (top/flt)	54	9 (17%)	5 (9%)	1 (2%)	3 (6%)	13 (24%)	40 (74%)	14 (26%)
FH slice/chip	8	1 (13%)	0 (0%)	1 (13%)	0 (0%)	7 (88%)	2 (25%)	6 (75%)
BH slice/chip	18	0 (0%)	0 (0%)	0 (0%)	0 (0%)	5 (28%)	15 (83%)	3 (17%)
BH drop shot	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH swinging volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
